Coin,Ruling,PoW,Ethereum_Blockchain,PoS,Speculation,Staking,Swap_Platform,Liquidity,Lending,Borrowing,Prediction_Market,Leverage,Margin,Yield_Farming,Governance,Financial_Project,Technical_Project,Services_Project,DeFi
btc,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ada,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dot,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
sol,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
doge,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
avax,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
matic,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
atom,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
link,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ltc,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shib,Haram,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
akro,Haram,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
sun,Haram,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
aave,Haram,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1
alpha,Haram,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1
badger,Haram,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1
gno,Haram,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
bzrx,Haram,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1
cake,Haram,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1
dydx,Haram,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1
cream,Haram,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1
swrv,Haram,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
srm,Haram,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
safemoon,Haram,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
hegic,Haram,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
df,Haram,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1
beta,Haram,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1
c98,Haram,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
comp,Haram,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
fis,Haram,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
troy,Haram,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
uma,Haram,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1
uni,Haram,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
xvs,Haram,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1
mft,Haram,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1
algo,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
trx,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
grs,Halal,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
ftm,Halal,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
firo,Halal,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
zil,Halal,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
zen,Halal,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
lsk,Halal,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
xrp,Halal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bch,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dlt,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cmt,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
chz,Halal,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
gto,Halal,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cel,Haram,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1
dough,Haram,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1
foc,Haram,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
mmo,Haram,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
mdx,Haram,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
om,Haram,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
skm,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
glc,Halal,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
lxt,Halal,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
atl,Halal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ttn,Halal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dta,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bnb,Haram,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1
ddim,Haram,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
lqty,Haram,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
cel,Haram,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1
swp,Haram,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
bel,Haram,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
audio,Haram,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
yfi,Haram,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1
dexe,Haram,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
epic,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
gmt,Halal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
hero,Halal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
wicc,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
zig,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bnk,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hydra,Halal,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
near,Halal,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
el,Halal,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
bsv,Halal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amp,Halal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
grt,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
xdc,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
dock,Halal,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
veri,Halal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pond,Halal,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
cqt,Halal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
fio,Halal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sbd,Halal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tru,Haram,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
sushi,Haram,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1
rune,Haram,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1
reef,Haram,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
spirit,Haram,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
uft,Haram,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1
snx,Haram,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1
mqqq,Haram,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
rep,Haram,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
ray,Haram,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1